AURKA_1,TMPO_2,PRIM1_1,BRIP1_4,RAD51AP1_3,MCM6_1,USP1_1,PIMREG_4,KIF2C_2,TTK_3,POLD3_3,DLGAP5_3,SMC4_4,BUB1_4,ATAD2_3,CDC25C_1,CCNB2_2,HJURP_1,CLSPN_1,TPX2_4,UNG_1,RANGAP1_2,ANLN_1,CDC45_4,TYMS_2,TOP2A_3,G2E3_2,KIF23_4,GTSE1_2,FEN1_2,RPA2_1,E2F8_2,RAD51_3,USP1_4,TMPO_3,DTL_2,FEN1_4,CCNB2_4,HELLS_2,CCNE2_1,E2F8_4,NUF2_2,CENPE_1,CLSPN_2,NASP_4,MKI67_2,POLD3_1,GINS2_2,UBR7_3,MKI67_4,CDC45_1,ANLN_3,NUSAP1_2,ANLN_4,CKS1B_1,BRIP1_3,HMMR_1,BIRC5_3,UNG_3,TIPIN_4,NEK2_4,CENPA_1,NUF2_4,FEN1_3,TTK_2,UNG_4,NEK2_3,CKAP5_1,TTK_1,CHAF1B_1,CENPU_1,SMC4_2,CTCF_4,CDK1_2,ANP32E_2,ECT2_2,RPA2_3,ECT2_3,GAS2L3_1,TPX2_2,E2F8_1,TUBB4B_3,ECT2_1,NEK2_2,RFC2_2,PCNA_2,RAD51AP1_4,TIPIN_3,TOP2A_2,TUBB4B_2,GINS2_4,RANGAP1_3,KIF20B_3,RPA2_2,KIF20B_2,NCAPD2_4,NEK2_1,CENPU_2,UHRF1_2,DTL_4,G2E3_4,RRM2_2,TYMS_3,UBR7_4,TACC3_2,CDCA8_2,UNG_2,CDC6_1,LBR_3,HJURP_3,HMGB2_2,CKAP2_2,POLA1_4,HJURP_4,TIPIN_2,RANGAP1_1,CKAP2L_3,SMC4_3,SLBP_2,ATAD2_1,DTL_3,CASP8AP2_3,KIF23_2,AURKA_4,CKS2_3,CDC25C_2,KIF23_1,GTSE1_3,GTSE1_1,CENPF_2,RRM1_2,CDC45_2,CTCF_1,USP1_2,CKS1B_3,UBR7_1,MCM2_2,CCNE2_2,RRM1_3,MCM5_1,CKAP2_1,CKAP5_3,BLM_4,RAD51_1,CCNB2_3,CHAF1B_2,ATAD2_2,BUB1_2,NDC80_1,PIMREG_1,CKS1B_2,POLD3_4,ECT2_4,CDC20_3,CENPF_4,NCAPD2_3,CDCA7_1,PSRC1_1,NDC80_3,CBX5_2,G2E3_1,ATAD2_4,CDCA7_3,RAD51AP1_2,GMNN_4,HMGB2_1,CLSPN_3,RAD51_2,PCNA_4,MCM4_3,ANP32E_3,CKAP2_3,UHRF1_4,SLBP_4,TPX2_1,TMPO_1,EXO1_2,CHAF1B_4,NUSAP1_4,NASP_3,RPA2_4,CENPA_3,AURKB_1,RFC2_4,TYMS_1,RFC2_3,CKS2_2,DTL_1,CKAP5_4,CDC20_1,PSRC1_4,GINS2_1,KIF23_3,CENPE_3,GAS2L3_4,KIF2C_4,CTCF_3,AURKB_2,NUSAP1_3,GAS2L3_3,NCAPD2_2,UHRF1_1,ANLN_2,DSCC1_1,DSCC1_2,CENPA_2,HJURP_2,NUSAP1_1,PCNA_3,KIF20B_4,HMGB2_3,MCM6_2,FEN1_1,TOP2A_4,KIF11_2,CENPF_3,GTSE1_4,MCM4_1,NUF2_3,SLBP_3,G2E3_3,CASP8AP2_1,CDCA3_1,CDCA2_1,BLM_1,RANGAP1_4,MKI67_3,CKS2_1,CKAP2_4,AURKB_3,CENPF_1,GMNN_1,NUF2_1,KIF11_3,TPX2_3,MCM5_4,RRM2_3,LBR_4,WDR76_2,MCM5_3,POLA1_3,CKAP2L_4,CKAP5_2,MCM2_4,PSRC1_2,DLGAP5_1,BRIP1_1,CDC25C_3,KIF11_4,CENPU_3,NCAPD2_1,CENPA_4,CDCA2_4,CDCA2_3,MSH2_4,CDCA8_4,PSRC1_3,GMNN_3,TACC3_1,PCNA_1,TACC3_4,MCM2_3,MCM6_4,CBX5_4,RAD51_4,BUB1_3,AURKA_3,TUBB4B_1,RFC2_1,CDCA2_2,RRM1_4,PRIM1_4,SMC4_1,HELLS_1,UHRF1_3,DLGAP5_4,BLM_3,MCM6_3,HELLS_3,CCNB2_1,TACC3_3,EXO1_3,KIF2C_3,TYMS_4,CHAF1B_3,SLBP_1,RAD51AP1_1,KIF20B_1,AURKB_4,CDC6_4,WDR76_1,HMMR_4,LBR_1,POLA1_1,CDCA8_1,PRIM1_3,RRM2_1,BIRC5_1,CDK1_3,E2F8_3,CKAP2L_2,CDC25C_4,NASP_1,ANP32E_1,AURKA_2,CASP8AP2_2,CENPU_4,MKI67_1,CDC6_2,KIF2C_1,CDC6_3,CBX5_3,MCM5_2,HMGB2_4,POLD3_2,BUB1_1,EXO1_4,CKAP2L_1,RRM1_1,BIRC5_2,GINS2_3,CDK1_1,MCM2_1,TTK_4,DLGAP5_2,CASP8AP2_4,HELLS_4,EXO1_1,MSH2_2,HMMR_2,RRM2_4,MSH2_3,POLA1_2,CKS1B_4,ANP32E_4,MSH2_1,MCM4_2,TOP2A_1,BLM_2,CLSPN_4,LBR_2,NASP_2,WDR76_3,WDR76_4,CBX5_1,TMPO_4,TUBB4B_4,CENPE_4,TIPIN_1,CTCF_2,BRIP1_2,GMNN_2,CDCA7_2,PIMREG_3,PIMREG_2,HMMR_3,NDC80_2,NDC80_4,CDCA7_4,CDC45_3,KIF11_1,USP1_3,GAS2L3_2,CDC20_2,CDC20_4,CDK1_4,PRIM1_2,CENPE_2,UBR7_2,BIRC5_4,cell
0,5,1,0,0,7,6,0,0,0,0,2,0,0,0,0,5,2,2,0,5,5,8,0,8,0,4,3,2,0,2,2,3,0,8,5,0,0,4,0,0,6,0,1,0,6,4,1,0,0,5,1,5,0,4,0,1,0,0,0,0,4,0,0,0,0,0,2,3,1,0,3,0,4,20,0,0,1,0,13,2,0,6,3,3,8,0,0,5,7,2,0,0,3,2,1,5,0,4,0,0,6,0,1,3,0,4,2,1,0,16,3,0,2,5,3,0,0,3,3,0,0,1,0,6,0,0,0,0,7,0,4,0,8,0,1,12,1,0,5,2,0,0,0,0,1,0,0,0,2,13,1,2,0,0,1,10,2,0,8,1,1,0,1,1,38,0,6,0,6,3,1,0,1,6,25,6,0,0,2,0,0,0,0,0,0,6,4,0,1,0,1,5,0,0,0,5,1,1,0,4,7,1,3,1,3,2,1,0,0,1,10,4,0,6,1,8,8,0,0,0,2,2,0,0,0,0,3,0,0,12,6,6,0,0,0,6,0,3,0,0,0,5,0,0,1,3,0,0,1,9,0,0,0,0,0,0,0,4,9,1,0,0,0,0,0,0,8,4,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,13,3,1,0,3,1,0,0,0,0,8,25,2,2,0,2,6,0,0,0,10,0,1,1,0,0,7,2,0,0,7,0,1,0,0,4,1,0,0,0,2,1,0,7,8,5,0,0,12,12,0,0,4,0,0,0,9,0,0,7,13,0,1,0,2,0,0,0,2,0,1,6,0,0,2,2,0,0,F12D2A4
0,2,0,0,0,4,3,0,1,0,0,0,0,0,0,1,1,0,2,0,2,5,1,0,3,1,3,1,1,3,1,0,0,0,9,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,6,3,1,0,0,3,0,0,3,1,5,3,0,0,1,5,0,0,1,0,1,0,2,0,2,0,0,6,0,0,0,0,0,0,0,0,4,5,0,1,3,0,0,0,1,1,0,0,0,0,4,0,0,0,0,3,6,3,0,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,16,0,1,0,3,1,0,1,0,4,20,2,0,0,0,0,0,2,0,2,0,3,2,1,1,0,0,2,0,0,0,0,0,0,1,4,3,1,0,0,0,2,1,0,0,0,3,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,6,2,5,0,0,0,0,0,3,0,0,0,2,0,0,1,4,0,0,1,3,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,3,1,0,0,2,0,0,0,0,1,2,7,5,1,0,1,0,0,0,1,3,0,0,1,0,0,2,0,0,3,3,0,2,0,0,2,0,0,0,0,1,0,0,1,4,4,0,0,3,7,2,0,1,0,0,0,1,0,3,1,2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,G8D6D4
0,1,2,0,0,3,3,0,0,0,0,0,0,0,0,3,1,0,0,0,6,3,3,0,1,0,0,3,0,0,3,0,2,0,12,3,0,0,5,0,0,0,0,0,0,1,2,4,0,0,0,2,4,0,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,0,1,0,4,3,0,3,0,0,1,0,0,6,5,5,2,0,1,1,4,0,0,0,3,0,0,1,0,13,0,0,2,0,0,3,1,1,0,1,0,13,2,0,0,0,5,1,0,4,2,0,0,2,0,4,0,0,0,0,0,3,2,3,3,0,2,3,1,0,9,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,2,0,6,2,0,1,1,0,16,0,6,0,1,3,0,1,0,0,17,3,2,0,0,0,0,5,0,2,0,2,4,0,0,0,1,11,0,1,0,0,2,0,2,5,7,1,0,4,1,0,1,0,0,0,7,2,0,1,0,1,2,0,1,0,0,2,0,0,0,0,2,0,0,3,4,3,0,0,0,0,0,1,0,1,0,3,0,0,1,1,1,0,0,5,0,1,0,0,0,2,0,1,11,0,1,0,0,2,0,0,3,4,1,0,1,0,4,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3,0,1,1,1,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,6,0,1,0,2,0,3,0,0,2,10,0,0,0,1,1,1,0,0,0,4,0,0,3,17,3,0,1,7,7,0,0,3,0,0,0,0,0,5,0,5,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,3,0,H11E1D4
2,26,9,0,0,25,19,0,7,1,0,1,0,1,2,3,13,3,3,0,6,11,5,0,27,0,11,3,3,14,12,4,6,1,38,15,0,0,21,3,0,5,0,3,3,25,5,10,0,4,1,2,26,0,18,0,3,0,0,0,0,6,0,0,3,1,2,16,5,6,2,14,0,34,21,0,5,0,2,18,0,2,12,6,12,37,2,1,21,33,0,0,0,14,5,2,9,2,28,0,0,38,0,1,10,4,8,10,0,2,52,15,2,2,10,8,2,12,12,3,1,2,6,1,19,0,2,1,3,5,32,14,17,15,0,3,36,1,0,12,14,0,0,0,0,1,3,0,8,2,17,4,1,1,0,1,5,5,0,11,11,1,0,23,3,94,0,19,0,28,261,0,3,0,24,74,11,0,0,0,0,0,29,0,4,0,28,9,1,6,0,3,7,0,0,1,15,34,1,2,13,22,5,10,3,9,6,24,0,0,0,18,28,6,15,0,12,30,4,0,1,7,2,2,0,0,0,17,1,0,7,13,9,0,2,0,5,1,3,0,6,0,13,0,3,11,4,0,0,2,26,0,1,1,0,0,0,1,18,54,0,0,1,0,2,0,2,37,5,0,4,0,6,22,0,0,1,0,0,7,2,0,0,0,0,1,5,4,0,1,6,0,34,26,5,0,27,3,1,1,2,0,32,16,11,10,3,6,5,1,0,4,10,0,7,11,0,2,14,9,0,9,27,0,7,1,1,17,6,6,0,0,10,0,0,22,29,17,1,0,27,64,3,0,8,2,0,0,4,7,8,12,6,0,6,2,1,0,0,3,12,0,1,8,1,1,1,3,13,2,F8H6A4
10,17,7,0,0,24,35,0,3,1,0,1,0,6,0,1,9,2,3,1,14,10,6,0,33,0,6,7,4,5,19,6,3,1,38,15,0,1,22,4,1,13,1,1,0,19,3,18,0,0,7,1,11,0,33,0,10,0,4,0,0,12,1,0,3,3,0,26,9,5,0,16,0,33,47,1,1,0,0,16,3,0,18,5,16,29,0,1,35,24,1,0,0,33,2,0,6,4,18,2,2,24,0,4,6,4,8,2,0,2,58,15,1,1,20,7,6,0,19,2,0,9,8,0,27,3,2,4,1,8,21,4,7,22,1,5,36,2,0,30,5,0,0,1,0,1,1,8,9,5,35,1,7,0,0,2,13,12,1,23,5,1,1,15,1,137,0,26,0,19,28,0,0,0,19,58,12,0,0,1,0,0,26,0,1,2,46,32,5,3,2,1,9,0,0,2,1,20,4,7,24,32,5,6,4,5,11,21,0,0,1,9,19,4,9,2,5,27,0,1,1,3,4,0,0,1,1,18,1,0,8,8,16,0,0,1,2,2,14,0,0,0,19,0,12,8,4,0,0,7,32,0,5,0,0,0,3,0,7,49,0,2,1,6,2,0,0,31,13,6,1,0,3,18,2,0,1,0,0,2,6,1,0,0,0,2,4,14,0,3,3,0,23,37,10,0,21,4,0,0,1,0,16,25,17,7,0,13,13,4,1,8,9,6,6,5,0,4,13,9,0,11,40,0,3,0,0,5,11,7,0,2,8,1,0,14,19,22,0,0,31,41,0,0,24,0,0,1,2,4,12,22,22,0,6,7,5,0,0,1,11,1,2,11,2,4,3,9,10,4,B9F5D4
0,9,2,0,0,3,9,0,5,0,0,0,0,0,0,4,7,0,2,0,0,4,1,0,3,0,5,0,2,0,3,1,0,0,3,2,0,0,0,0,0,1,0,1,0,5,0,2,0,0,0,0,5,0,5,0,3,0,0,0,0,4,0,0,1,0,0,8,5,3,0,6,0,0,8,2,0,0,0,5,0,0,1,7,0,0,0,2,5,8,0,0,0,2,0,0,4,0,0,0,0,8,0,0,0,3,0,1,0,0,19,4,0,0,4,0,0,0,0,0,0,0,1,0,18,0,5,1,0,1,5,0,4,0,0,0,8,0,0,3,6,0,0,2,0,0,0,2,2,2,12,0,0,0,0,0,3,4,0,3,1,0,0,1,0,49,0,1,0,3,0,0,0,0,6,19,2,0,0,0,0,0,4,0,1,0,19,1,0,5,0,0,0,0,0,0,0,7,0,0,3,1,2,0,0,5,0,3,0,0,0,1,1,0,1,0,2,0,0,0,0,2,1,1,0,0,0,10,0,0,4,3,4,0,0,0,0,0,3,0,0,0,4,0,3,5,0,0,1,0,4,0,0,0,0,0,1,0,5,4,0,1,0,0,0,0,0,9,2,0,0,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,0,2,0,4,0,0,0,0,0,7,10,10,0,0,2,2,1,0,6,0,0,2,1,0,1,2,3,0,0,12,0,3,0,0,0,1,6,0,1,0,0,0,1,4,7,0,0,11,7,0,0,0,0,0,0,0,6,1,1,0,0,0,0,1,0,0,0,4,0,1,5,0,0,4,2,1,0,G12G6G4
1,10,3,0,0,10,8,0,0,1,0,0,0,0,0,1,1,2,0,0,3,3,0,0,5,0,2,2,0,3,2,1,0,0,9,7,0,0,9,1,0,0,0,0,0,1,0,10,0,0,0,0,2,0,8,0,0,0,0,0,1,1,0,0,2,0,0,2,2,1,1,3,0,9,6,0,0,0,0,1,2,1,1,2,5,8,0,1,4,6,0,0,0,11,1,0,1,3,7,1,0,5,0,0,1,0,5,1,0,0,3,6,0,1,9,0,0,0,5,2,0,0,2,0,2,2,0,0,0,4,7,6,2,8,0,3,21,0,0,9,4,0,0,0,0,1,2,2,0,1,4,0,0,0,0,0,10,1,0,3,0,0,1,3,0,30,0,3,0,3,9,0,0,0,2,17,5,1,0,0,0,0,0,0,1,0,2,9,0,1,0,1,13,0,0,1,3,4,0,0,7,9,2,2,4,3,0,2,1,0,0,18,6,0,2,0,2,3,0,0,2,3,1,0,0,0,0,2,0,0,2,1,2,0,0,1,1,0,0,0,0,0,4,0,0,3,2,0,0,1,9,0,0,0,0,0,0,0,8,18,0,2,2,0,0,0,0,4,7,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,8,2,0,0,5,3,1,0,0,0,7,10,1,5,0,0,6,0,0,1,11,0,4,0,0,0,2,2,0,0,13,0,1,0,0,2,0,0,0,1,3,0,0,6,13,5,0,0,13,7,0,0,2,0,0,0,3,1,7,12,8,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,4,5,E10F1C4
0,9,5,0,0,8,12,0,0,1,0,0,1,0,1,2,0,0,0,0,2,2,0,1,9,0,2,2,0,1,4,2,2,1,22,5,0,0,4,1,0,2,0,1,0,1,1,5,0,0,3,1,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,2,0,1,18,1,0,0,0,1,3,0,6,2,7,7,0,0,4,4,0,0,0,1,2,1,3,0,14,1,0,5,0,0,0,0,6,1,0,1,13,2,0,1,2,0,1,0,2,0,0,0,0,0,3,0,0,0,0,1,12,1,1,3,0,0,7,0,1,9,2,0,0,0,1,2,0,5,0,6,16,0,1,0,0,2,7,2,0,7,1,0,0,1,0,260,0,8,0,6,2,0,7,0,3,37,6,0,0,0,0,0,0,0,2,4,2,19,0,0,0,2,2,0,0,0,0,5,0,2,9,11,0,1,1,0,0,2,0,0,0,7,2,1,1,0,2,4,0,0,0,2,5,0,0,0,1,0,0,0,7,3,3,0,0,0,2,0,1,0,0,0,11,0,0,2,1,0,0,1,14,0,1,0,0,0,0,0,2,19,0,0,0,0,1,0,1,6,4,0,0,0,1,8,0,0,0,0,0,1,2,1,0,0,0,1,1,6,0,0,0,0,14,1,1,0,5,0,0,0,0,0,11,10,3,2,0,2,2,0,0,0,5,0,2,0,0,0,3,2,0,2,7,0,0,0,2,3,1,0,0,0,1,0,0,2,12,3,0,0,11,24,0,0,20,0,0,0,3,1,4,6,5,0,0,0,0,0,0,0,1,0,1,0,7,1,5,0,3,0,D12H3C4
10,22,14,0,1,34,68,0,18,2,0,0,0,4,0,4,17,8,8,0,8,27,11,0,49,0,4,8,11,11,25,8,2,0,25,24,0,0,32,3,0,18,1,4,0,53,9,16,0,0,9,1,20,0,28,0,5,0,1,0,0,11,0,0,10,1,1,14,24,6,0,48,2,52,61,4,0,0,0,44,7,0,23,13,22,79,0,0,37,52,3,0,0,45,11,0,18,2,28,0,0,55,1,0,16,1,3,1,0,0,118,20,0,1,22,15,4,1,29,6,1,4,6,0,34,8,5,0,1,27,25,17,9,47,1,7,62,4,1,28,20,0,1,3,1,3,4,9,8,2,39,0,6,0,1,2,25,13,2,15,6,0,0,12,2,201,0,11,0,21,17,0,1,1,30,42,36,0,0,0,0,0,39,0,3,0,50,29,2,17,1,1,2,0,0,1,1,35,2,8,17,34,9,14,7,15,14,35,0,0,0,26,20,3,37,5,4,35,0,1,0,6,3,1,0,0,0,20,2,0,34,19,19,0,0,0,2,0,27,0,0,0,17,0,0,8,2,1,0,10,29,1,1,0,0,0,3,0,16,177,1,1,0,3,1,0,0,59,16,1,0,1,7,20,0,0,0,0,0,6,7,0,0,0,0,6,17,17,0,0,8,0,40,17,14,0,42,1,0,0,1,0,42,32,22,7,1,11,10,3,1,1,32,1,7,13,0,2,16,11,0,20,57,0,5,0,0,30,22,9,0,0,16,0,0,32,55,43,1,0,75,112,1,0,42,0,0,0,12,9,8,46,28,0,5,3,10,1,0,0,24,0,1,27,0,2,12,8,4,0,B9D5F4
15,20,2,0,0,4,16,0,5,1,0,1,0,0,0,3,8,0,2,0,1,18,17,0,18,5,8,0,6,4,7,0,1,1,23,2,0,0,4,2,0,8,2,0,0,19,6,4,0,0,1,1,24,0,19,0,5,0,0,0,0,12,0,1,12,3,1,29,11,2,2,10,0,37,39,1,1,0,0,27,0,1,12,16,0,3,0,0,46,29,0,1,0,3,5,0,7,1,4,0,0,11,0,2,14,11,2,0,1,1,58,10,0,1,8,12,0,1,7,2,0,1,1,0,31,0,2,0,2,15,15,3,3,5,0,4,5,0,0,1,11,0,0,1,0,1,1,9,4,2,38,3,0,0,0,0,5,7,0,16,13,0,0,0,1,141,0,10,0,11,3,1,0,0,30,63,5,0,0,0,0,0,22,0,0,0,39,6,0,18,0,1,13,0,1,0,0,14,1,0,11,6,13,3,0,8,5,2,0,0,1,6,3,1,7,0,3,2,0,0,0,0,2,3,0,0,0,9,1,0,23,13,6,0,0,2,0,0,2,0,1,0,19,0,3,11,4,0,0,3,18,0,1,0,0,0,0,0,23,23,0,0,0,0,0,0,0,24,6,3,0,0,3,11,0,0,0,0,0,5,1,0,0,0,0,0,9,6,0,1,2,0,33,8,10,0,9,6,0,0,1,0,14,32,23,1,0,4,3,1,2,0,2,1,3,8,0,0,7,2,0,4,9,0,12,3,3,3,2,13,0,0,6,0,0,3,11,54,0,0,41,33,3,0,11,0,0,0,1,2,7,10,5,0,0,1,2,1,1,1,10,0,11,24,0,2,1,10,9,2,A7F4H4
