GAPDH5,RPL13A5,RPL13A2,ACTB1,RPL13A1,GAPDH0,ACTB2,GAPDH4,RPL13A4,ACTB0,RPL13A0,GAPDH3,GAPDH1,ACTB3,GAPDH2,ACTB5,ACTB4,RPL13A3,cell
8,9,0,11,0,0,18,1,2,0,0,3,4,38,28,51,32,5,E4E12E1
2,2,1,3,0,0,0,0,4,0,0,1,1,7,10,11,5,1,D4E10A1
1,2,0,1,1,0,3,2,2,0,0,0,3,5,4,13,6,1,E5A9D1
11,21,3,18,1,0,32,6,3,2,0,5,16,70,63,95,60,7,F4B12A1
2,3,2,4,1,1,9,1,3,0,0,0,6,17,20,28,13,3,D6A10H1
1,1,1,2,0,0,5,1,1,0,0,1,3,7,6,16,7,0,F4B12B1
4,8,5,9,4,0,11,0,1,0,0,6,8,37,43,56,35,6,G3F8B1
1,2,0,2,0,0,5,0,1,0,0,0,3,7,5,11,7,1,G6F7H1
7,4,6,20,4,0,21,0,8,3,0,6,11,57,47,117,42,6,H3C12B1
12,8,2,13,1,0,24,0,2,0,0,13,10,46,41,70,34,3,C2A7E1
5,9,8,13,5,0,34,0,3,0,0,10,16,48,42,77,42,6,E2A7A1
2,8,1,7,1,0,11,0,6,0,0,2,5,31,23,58,29,6,A1F9B1
3,4,0,4,2,0,8,0,1,0,0,2,6,22,29,48,15,2,D4F11B1
0,3,1,2,2,0,4,0,2,0,0,2,2,8,24,19,7,1,G3F7A1
2,0,1,0,1,0,1,0,0,0,0,1,5,7,6,17,11,3,H3G12D1
0,3,0,2,0,0,6,0,0,0,0,2,2,17,8,20,13,0,A6A12H1
11,15,10,12,4,0,22,12,3,0,0,4,7,46,62,84,54,16,D6H8E1
2,1,0,2,0,0,4,0,2,0,0,2,2,11,10,21,7,0,B3F9A1
3,0,0,0,2,0,4,0,2,0,0,1,3,6,8,12,5,0,A2A12E1
1,2,0,4,0,0,7,0,2,1,0,3,3,9,8,17,8,0,H1H11B1
9,21,9,29,5,2,54,0,4,1,0,5,20,86,92,148,60,16,E4D8A1
0,0,0,4,0,0,1,0,0,0,0,2,1,8,9,8,13,0,D3H8H1
0,1,1,2,0,0,5,0,2,0,0,2,1,14,3,12,1,1,B3C8A1
5,20,8,11,8,0,18,0,4,1,0,8,10,61,28,48,32,15,G4F9H1
7,9,2,3,3,0,13,0,1,1,0,2,5,34,24,44,21,5,F6C8E1
3,4,3,3,2,0,4,3,3,0,0,1,7,25,22,32,18,4,F4E9H1
1,6,3,3,1,0,7,0,1,0,0,1,7,21,23,24,8,4,C2F7H1
1,3,1,0,0,0,5,0,0,0,0,0,4,7,5,16,7,2,E1C9A1
1,8,7,9,6,0,27,1,3,0,0,3,8,39,29,56,29,10,E5F12B1
5,16,5,12,3,0,18,1,6,0,0,3,13,35,51,49,22,7,H6D9E1
1,4,1,6,1,0,6,1,2,0,0,8,3,8,14,18,11,4,E5E10D1
2,0,3,1,1,0,5,0,1,0,0,1,0,22,13,18,8,3,A3D7B1
4,10,5,4,4,0,8,6,1,0,1,8,13,16,47,28,7,1,F4E8D1
12,10,4,11,6,1,31,0,3,0,0,5,19,74,61,108,54,9,H1A9E1
0,1,0,0,0,0,9,0,2,0,0,4,4,8,7,15,9,3,H4A12B1
7,4,2,10,0,0,24,0,3,0,0,7,8,33,32,51,41,2,D4G12E1
0,0,2,2,0,0,3,0,1,0,0,0,3,7,4,10,9,0,H6C8H1
2,3,2,5,0,0,3,0,1,1,0,0,1,17,6,17,10,3,A1C7A1
5,2,2,4,2,0,15,0,1,0,0,4,11,23,26,36,18,6,B1D9E1
2,12,3,9,2,0,12,0,1,1,0,6,6,33,33,59,19,2,C4F7D1
0,1,0,0,0,0,7,0,0,1,0,2,3,8,16,13,9,0,F4G11B1
2,2,1,4,0,0,7,0,2,0,0,1,2,20,13,24,8,2,F6C9A1
3,2,1,13,0,0,8,0,2,0,1,3,4,25,19,24,15,2,F1H12E1
0,5,0,4,1,0,2,0,0,0,0,1,5,11,14,17,11,3,G4G9E1
2,7,6,5,3,0,12,0,1,0,0,2,3,21,10,17,8,8,G6H8D1
7,19,0,11,1,0,31,0,7,2,0,13,13,53,87,108,64,10,H1A10D1
4,4,1,2,1,0,11,0,2,0,0,0,4,20,21,30,16,3,H6E8E1
0,4,0,3,0,0,6,0,2,0,0,1,5,9,9,20,6,0,G1G7A1
7,14,6,18,2,0,25,0,5,0,1,4,9,54,34,97,49,9,B1C10E1
1,13,3,15,2,1,28,0,5,0,0,9,14,44,32,76,37,11,H3C8E1
1,3,1,4,4,0,4,1,1,0,0,3,3,14,4,14,11,3,E6H8E1
2,2,1,1,0,1,7,0,1,0,0,3,4,8,18,11,4,1,E3H8D1
1,3,1,6,0,0,6,0,2,0,0,5,7,17,22,19,16,3,D3D9A1
2,2,1,2,3,0,9,0,1,0,0,3,4,13,18,30,7,2,F5D10E1
1,0,1,2,0,0,4,0,0,0,0,1,2,9,8,17,9,2,G5B8B1
2,2,5,7,0,0,14,0,1,0,0,3,4,16,22,26,16,5,G1G7B1
1,3,0,2,1,0,4,0,2,0,0,0,4,6,11,13,8,0,H6E7E1
2,4,1,5,4,0,13,0,4,0,0,3,3,27,17,38,17,7,B3H10H1
5,6,0,8,2,0,19,0,0,1,0,5,10,40,23,58,41,1,F6F12A1
1,1,1,3,0,0,5,2,1,0,0,1,3,10,8,10,5,1,D6C8E1
1,0,0,4,0,0,4,0,0,0,0,3,4,12,8,8,9,0,B3B9B1
1,0,0,1,0,0,4,0,0,0,0,1,0,16,4,13,11,0,E3E11E1
5,2,4,1,4,0,4,0,0,0,0,1,1,4,14,8,5,2,G2B9B1
1,2,4,3,0,0,3,0,3,2,0,3,7,16,22,23,15,2,E2B7E1
2,5,1,7,2,0,11,0,2,0,0,4,6,27,26,47,18,6,F6H7H1
1,7,2,7,1,0,10,0,2,0,0,1,1,18,23,31,16,1,H6F9B1
1,0,0,3,3,0,3,3,2,0,0,1,1,8,7,20,8,0,D6F11E1
1,0,2,2,1,0,4,0,1,0,0,3,0,4,5,11,6,1,G3E9B1
2,1,0,4,1,0,5,0,0,0,0,1,2,8,4,17,7,3,B6E9E1
2,1,2,1,3,0,2,2,2,0,0,2,2,8,3,9,2,2,F4D8D1
1,4,0,1,1,0,2,0,2,0,0,1,3,5,8,8,4,1,G4D11A1
1,0,1,2,0,0,4,0,0,0,0,0,4,4,8,10,6,2,H6A7D1
22,55,21,43,21,0,91,0,10,1,0,19,48,149,145,245,139,23,E3G9E1
8,8,5,9,2,0,18,0,4,1,0,6,13,31,38,48,24,5,E3H10E1
9,26,11,37,9,0,47,0,6,1,0,22,30,130,131,203,97,21,E6H8A1
4,4,1,0,1,0,6,6,0,0,0,1,3,14,7,12,9,1,D6D11H1
1,2,1,1,2,0,6,0,0,0,0,0,0,21,12,26,15,1,F1C7B1
2,0,2,2,2,0,2,0,2,0,0,2,3,8,8,12,7,2,A3C11A1
1,5,1,5,1,0,9,0,2,1,0,3,4,22,16,22,10,0,H2F12H1
0,0,1,4,2,0,8,0,0,0,0,1,1,10,4,20,11,0,A1A7D1
16,13,6,18,2,0,36,0,8,0,0,7,29,79,81,108,56,11,H4D9A1
15,20,12,25,12,1,51,2,14,0,1,10,23,130,110,148,81,14,F1E8A1
2,14,6,17,5,1,33,1,5,2,0,12,17,82,66,102,59,12,E1B8A1
1,2,1,5,0,1,5,1,1,0,0,2,4,14,13,25,8,3,F4E10H1
1,10,7,8,3,0,20,0,2,0,0,8,9,34,29,62,36,5,D2B8A1
0,1,2,1,0,0,8,2,0,0,0,0,4,3,5,13,5,1,D6H8D1
0,0,0,2,0,0,11,1,1,0,0,1,3,11,7,20,13,1,F4H10B1
2,1,0,2,1,0,4,0,0,0,0,0,2,16,12,14,11,1,B3E12D1
4,7,8,13,6,0,13,0,1,0,0,4,8,31,33,45,27,3,H6C8B1
5,6,2,7,4,0,22,0,2,0,0,1,1,15,33,43,13,5,B6C12A1
3,4,4,7,4,0,14,0,1,1,0,0,11,26,13,39,17,4,C6C7B1
0,0,0,0,1,0,8,1,1,0,0,2,0,14,6,18,6,0,D6F7B1
3,3,1,2,1,0,15,0,0,0,0,2,4,10,12,19,15,1,H4D10E1
1,1,2,2,2,0,4,0,0,0,0,1,3,8,5,10,9,2,H4F8H1
0,1,0,4,2,0,4,0,2,0,0,1,2,5,5,14,7,0,D4B8H1
4,5,1,10,0,0,12,0,1,0,0,3,5,34,20,66,25,3,G3F8A1
0,0,1,1,1,0,2,1,1,0,0,0,1,9,10,21,5,0,D2E10H1
1,4,4,3,0,0,5,4,0,1,0,1,9,16,14,17,22,3,D6G10H1
2,0,2,4,0,0,6,0,1,0,0,4,6,11,14,15,7,2,A1A8H1
1,5,0,5,1,0,6,0,0,0,0,2,4,24,9,24,14,2,E4E10B1
1,3,2,0,0,0,6,0,0,0,0,1,2,13,10,16,9,2,H1E8D1
9,10,7,19,6,1,46,0,6,0,0,7,21,95,60,161,48,11,E4E9E1
1,4,1,6,3,0,6,0,0,0,0,0,5,17,11,22,10,0,F5B9E1
0,0,4,3,0,0,3,0,1,0,0,1,3,9,14,11,3,1,A3F7B1
2,5,8,5,1,0,25,0,4,0,0,1,15,34,24,50,27,3,E1E12E1
5,3,1,7,1,0,8,0,1,0,1,1,5,16,24,48,20,4,E3B12D1
2,2,5,5,1,0,13,0,1,0,0,2,2,37,31,40,16,3,C6C9A1
11,22,8,22,11,0,50,0,4,2,0,7,24,89,50,146,67,9,C1D9E1
4,0,1,2,0,0,2,0,0,0,0,0,4,8,10,15,3,0,E2G10A1
9,13,7,12,2,0,27,1,4,1,0,12,16,62,40,88,46,10,C6E9E1
2,2,2,3,0,0,8,0,0,0,0,1,2,4,9,13,7,2,D3F10B1
6,8,1,8,3,0,16,0,0,1,0,3,7,23,19,34,24,10,C3A9E1
0,4,2,4,0,0,12,0,2,0,0,6,4,16,11,27,12,1,E3B7E1
4,0,3,1,0,0,6,0,0,1,0,4,2,18,14,25,11,0,H3B9H1
5,4,1,10,2,0,24,0,0,0,0,8,3,39,28,66,37,1,A3D10E1
2,1,3,7,1,0,4,0,2,1,0,2,2,9,9,14,11,2,E2A7E1
2,5,4,7,6,0,19,0,1,0,0,6,9,41,32,59,20,6,G1C9E1
2,1,1,4,0,0,4,1,1,0,0,0,1,9,5,11,7,3,F4A10E1
