RPL13A5,GAPDH4,RPL13A4,mNG1,GFP1,mNG5,GFP5,mNG4,ACTB4,RPL13A3,GAPDH3,ACTB3,GAPDH2,GAPDH5,ACTB1,RPL13A1,ACTB2,GFP6,GAPDH1,GFP4,RPL13A2,GFP3,ACTB5,cell
4,1,2,0,0,0,0,0,24,2,1,13,19,0,3,2,16,0,3,0,0,0,23,B1D8A2
1,4,2,0,0,0,0,0,28,2,2,17,42,2,4,0,11,0,7,0,1,0,33,G1B11A2
12,4,8,0,0,0,0,0,19,7,3,31,32,5,7,9,19,0,8,0,6,0,49,A2A8D2
5,5,5,0,0,0,0,0,23,2,5,28,27,1,7,3,15,0,7,0,3,0,41,F5G7H2
31,13,21,0,0,0,0,0,161,5,16,174,230,15,36,16,105,0,52,1,13,0,248,B5H8C2
2,4,1,0,0,0,0,0,48,4,0,44,43,2,16,0,21,0,7,0,2,0,65,E4C7B2
7,4,2,0,0,0,0,0,44,2,4,45,39,3,9,0,37,0,10,0,2,0,57,F5D10G2
21,4,11,0,0,0,0,0,49,9,5,56,62,6,9,4,33,0,12,0,11,0,76,G4E12B2
10,5,5,0,0,0,0,0,36,2,6,34,46,2,12,4,18,0,11,0,4,0,50,C5F11E2
8,7,0,0,1,0,0,0,47,5,7,56,50,5,14,1,40,0,11,0,1,0,102,C1B10G2
8,5,2,0,0,0,0,0,43,7,6,36,44,3,13,5,28,0,20,0,2,0,90,C5B8A2
2,2,1,0,0,0,0,0,49,2,4,49,36,2,3,0,19,0,13,0,3,0,65,E6C12G2
6,3,1,0,0,0,0,0,37,3,4,29,26,3,13,1,26,0,6,0,8,0,36,D1E10D2
2,2,1,0,0,0,0,0,8,4,1,17,20,0,4,1,11,0,5,0,2,0,26,B2G10E2
33,21,17,0,0,0,0,0,197,22,23,224,235,17,52,16,136,0,55,0,24,0,303,C6C9A2
10,6,4,0,0,0,0,0,67,10,3,40,93,6,15,4,31,0,20,0,2,0,93,E5E9E2
12,6,4,0,0,0,0,0,61,12,3,56,90,11,19,3,27,0,19,0,6,0,78,D5E9D2
17,5,6,0,0,0,0,0,57,4,9,78,82,5,11,2,39,0,22,0,6,0,105,F6H12H2
7,3,8,0,0,0,0,0,41,11,5,64,68,3,15,7,27,0,16,0,5,0,71,G1C11H2
3,4,1,0,0,0,0,0,8,5,2,8,30,4,2,2,7,0,3,0,2,0,21,H1A8E2
8,6,3,0,0,0,0,1,64,11,7,67,71,4,17,3,24,0,15,0,6,0,77,C5C10D2
4,4,3,0,0,0,0,0,28,6,2,25,47,3,3,1,13,0,9,0,8,1,47,B1F8C2
18,4,4,0,0,0,0,0,50,12,9,68,88,2,14,8,28,0,26,0,8,0,83,A3G10H2
24,24,17,0,0,0,0,0,193,12,20,116,214,17,45,6,124,0,38,0,12,0,282,C6F7G2
2,0,3,0,0,0,0,0,17,0,1,26,18,2,3,0,17,0,8,0,1,0,31,H5E10G2
4,0,3,0,0,0,0,0,19,3,2,23,32,0,2,0,12,0,9,0,4,0,20,G6A10D2
12,8,4,0,0,0,0,0,48,6,5,47,58,3,11,5,33,0,17,0,3,0,94,G1C10A2
4,1,1,0,0,0,0,0,18,1,1,16,24,0,6,1,16,0,9,0,1,0,35,G6C11F2
11,3,7,0,0,0,0,0,42,7,2,58,34,2,10,9,22,0,8,0,11,0,61,C6B10D2
35,18,19,1,0,0,0,0,121,9,20,108,167,10,24,10,66,0,30,0,15,1,207,A3E11G2
6,2,5,0,0,0,0,0,59,7,5,35,64,5,12,0,27,0,16,0,8,0,69,G6E11E2
3,1,2,0,0,0,0,0,34,1,3,60,41,2,13,1,32,0,8,0,2,0,64,G3B9F2
17,19,10,0,0,1,0,0,162,13,19,228,149,10,42,9,91,0,44,0,12,0,297,F6B12D2
2,2,2,0,0,0,0,0,16,1,2,17,18,3,2,0,9,1,4,0,0,0,28,A2E10A2
6,2,5,0,0,1,0,0,34,7,1,48,26,3,11,0,18,0,13,0,7,1,53,C6E9A2
14,7,5,0,0,0,0,0,45,6,5,46,51,3,13,3,36,0,15,0,12,0,61,B2A7C2
9,11,9,0,0,0,0,0,84,6,5,94,89,4,23,7,63,0,32,0,4,0,150,G3A7B2
4,2,4,0,0,0,0,0,39,7,5,34,43,4,9,1,13,0,12,0,2,0,40,H3C10E2
2,2,0,0,0,0,0,0,30,2,1,31,34,1,10,0,23,0,9,0,2,0,49,H2F11C2
5,6,4,0,0,1,0,0,24,4,4,25,36,4,5,0,13,0,6,0,5,0,40,E1G9E2
13,5,5,0,0,0,0,0,35,8,3,54,84,9,16,6,34,1,13,0,6,0,96,H2F8H2
11,10,5,0,0,0,0,0,80,9,9,94,101,7,15,2,44,0,36,0,12,0,154,A6F9D2
4,3,1,0,0,0,0,0,22,4,1,25,14,2,2,0,10,0,13,0,1,0,44,G5H11H2
6,15,4,0,0,0,0,0,87,7,8,49,110,3,8,3,25,0,16,0,5,0,130,H4D9B2
49,32,19,0,0,0,0,1,269,32,25,316,296,19,65,16,161,3,98,0,42,0,443,E2E9E2
13,5,7,0,0,0,0,0,48,9,7,41,41,3,7,3,25,0,11,0,4,0,63,E1D7D2
5,2,5,0,0,0,0,0,33,0,4,28,29,0,10,0,7,0,8,0,0,0,35,H5F10G2
3,0,0,0,0,0,0,0,16,0,0,15,17,0,7,1,15,0,5,0,1,0,27,A2B8F2
7,2,1,0,0,0,0,0,34,3,1,30,27,1,8,2,17,0,12,0,3,0,55,E2F8A2
38,37,28,0,0,0,1,0,270,23,25,319,300,13,72,13,173,0,84,1,23,0,421,F1F7C2
8,8,7,0,0,0,0,0,75,5,2,90,61,2,23,4,42,0,25,0,7,0,140,F6C10B2
4,2,1,0,0,0,0,0,28,2,1,28,34,3,4,1,25,0,17,0,7,0,51,C6F7E2
12,6,6,0,0,0,0,1,70,10,8,107,64,5,18,8,38,0,21,0,7,0,116,D6G11H2
