RPS18_2,SOCS1_2,B2M_2,RPS6_2,RPS12_1,GZMB_2,RPL13_1,GBP2_1,IL2_2,RGS16_1,STAT1_1,CXCL9_2,NME1_2,SAMD9L_2,CD8B_2,RPLP2_2,IFNG_1,RGS16_2,CCL4L2_2,PARP9_2,CCL5_2,RPL11_2,CD74_1,HLA-DRA_1,GBP4_2,LTA_2,IL1B_2,TNFRSF18_1,TNF_1,CST7_2,MS4A1_2,IFI6_2,PSAT1_1,RPS2_1,NKG7_2,IL7R_2,IRF4_2,LYZ_1,IL7R_1,TNFRSF4_2,CD3D_1,CXCL9_1,CD69_2,SLFN5_1,IRF4_1,HAPLN3_1,NR4A1_1,CD3D_2,BATF_1,GZMB_1,CD79A_1,CXCL10_1,IFITM2_2,CCL5_1,TBX21_1,RPLP2_1,TYROBP_1,CCL3_1,HLA-DRA_2,CD40_2,RPL5_2,G0S2_2,IL1A_2,TBX21_2,XCL2_1,BATF_2,LDHB_1,UBE2L6_2,TNFRSF9_2,GZMA_1,IL3_2,IL2RA_1,CCL20_1,SYNE2_1,SLC7A5_2,EGR3_2,RPS25_2,LTA_1,PRF1_1,RPL13A_1,EPSTI1_2,TNFSF14_2,IL1B_1,PLAAT4_2,CCL20_2,HLA-DRB1_1,NKG7_1,CXCL11_2,FCER1G_1,IRF1_2,BCL2L14_1,CD69_1,PRF1_2,IFNG_2,GADD45B_2,IFITM2_1,GBP2_2,PSAT1_2,IL2RA_2,RRP9_2,SLC7A5_1,TNF_2,GBP1_1,GINS2_1,IRF1_1,RPS27_1,UBE2L6_1,NR4A3_1,GZMA_2,CD8A_2,IDO1_2,RPS3_2,XCL2_2,TNFRSF18_2,CD40_1,KCNA3_1,NDFIP2_1,RPS25_1,IFI35_2,INHBA_2,IFITM1_1,DTX3L_1,NDFIP2_2,DTX3L_2,RPS12_2,B2M_1,TNFSF9_2,GBP1_2,XCL1_2,TNFRSF9_1,NFKBID_2,GBP4_1,IL2_1,KCNA3_2,RPL13_2,CD79B_2,FCGR3A_2,PYCR1_2,RPS19_2,SAMD9L_1,ODC1_2,CST7_1,MS4A1_1,TNFRSF4_1,FBXO6_1,CTSW_1,NR4A2_2,CHEK1_1,EPSTI1_1,CXCL10_2,IDO1_1,CCL4_1,FCER1G_2,PARP9_1,CD200_2,FCER2_2,HRH2_1,CD8A_1,TNIP3_1,EGR3_1,GNLY_1,MS4A7_1,RRP9_1,ISG15_1,BATF3_2,RPL32_2,STAT1_2,CTSW_2,RPS19_1,TNIP3_2,PUS7_1,NME1_1,CALHM6_1,PARP11_1,HLA-DQA1_2,CCL3_2,G0S2_1,ENPP2_1,NR4A3_2,CD200_1,GADD45B_1,IFITM1_2,NCS1_1,EBI3_1,TRAFD1_2,FBXO6_2,NOLC1_1,GNLY_2,S100A8_2,LGALS3_2,LY6E_1,CCL15_2,HLA-DPB1_2,FCER1A_1,BYSL_2,IFIT3_2,CXCL1_2,IFI44L_2,IL6_1,TMEM88_2,CD8B_1,ZBTB32_1,HLA-DPA1_1,IFI44L_1,TNFSF10_2,CD80_1,S100A9_1,S100A9_2,NOP16_2,HCAR3_2,FTH1_2,P2RY14_1,COTL1_2,BYSL_1,IL21_1,MTHFD1L_1,P2RY14_2,CCL4_2,COTL1_1,CD79A_2,RPL18A_1,HCAR3_1,RPL5_1,RPS2_2,HAPLN3_2,RPL18A_2,ASNS_2,TNFSF14_1,GEM_2,CST3_1,TMEM88_1,EAF2_1,EBI3_2,PUS7_2,FRMD4B_2,HCAR2_2,FAS_2,OSM_2,CCL19_2,LDHB_2,PLAAT4_1,NFKBID_1,CAVIN2_1,CD74_2,SLFN5_2,CCL8_2,IFI6_1,PARP11_2,FTH1_1,RPS27_2,CCL3L3_2,ASNS_1,FCGR1B_1,XAF1_1,IFI35_1,SOCS1_1,PYCR1_1,IL12B_2,TNFAIP6_2,RPL13A_2,CST3_2,BATF3_1,CXCL11_1,RPL32_1,NR4A2_1,CCL3L1_2,LY6E_2,NRGN_1,S100A8_1,ODC1_1,MX1_1,OSM_1,NR4A1_2,INHBA_1,NOLC1_2,FAS_1,FCER2_1,GEM_1,RPS18_1,RPS6_1,TNFSF9_1,HLA-DRB1_2,LGALS3_1,FCGR3A_1,HSD11B1_2,CCL19_1,PPBP_2,IL13_1,LAG3_2,RPS3_1,APOL4_1,IFIT3_1,CCL1_2,CALHM6_2,HLA-DPA1_2,TNFSF10_1,AIF1_1,APOL4_2,SYNE2_2,ENPP2_2,IL12B_1,KLRB1_2,TYROBP_2,LYZ_2,HIC1_2,ANKRD22_2,NRGN_2,CCL1_1,ITGB8_1,CD80_2,IL3_1,ANKRD22_1,LST1_1,KLRB1_1,IL6_2,EDN1_2,FCN1_1,HLA-DQA1_1,NCS1_2,HSD11B1_1,GP1BA_2,IL1A_1,LST1_2,CXCL1_1,ACOD1_1,FRMD4B_1,TNFAIP6_1,MS4A7_2,CHEK1_2,CCL8_1,CD79B_1,EDN1_1,BCL2L14_2,HRH2_2,XCL1_1,CD14_1,HCAR2_1,FCGR1B_2,HLA-DPB1_1,XAF1_2,LAG3_1,MTHFD1L_2,NPW_1,CCL3L3_1,ZBTB32_2,STEAP4_2,EAF2_2,FCN1_2,TRAFD1_1,NDP_1,CD14_2,SYNPO2_2,NOP16_1,CCL3L1_1,IDO2_1,ITGB8_2,PPBP_1,CCL23_2,CCL15_1,PTX3_2,ACOD1_2,PF4_1,FCER1A_2,CH25H_2,MX1_2,HIC1_1,SYNPO2_1,AIF1_2,CAVIN2_2,IL31RA_1,NDP_2,PTX3_1,CH25H_1,IDO2_2,IL31RA_2,DNAAF1_1,RPL11_1,GP1BA_1,CCL4L2_1,IL13_2,IL21_2,PF4_2,GNG11_2,GNG11_1,GINS2_2,LAMP5_2,cell
713,62,2471,849,603,9,1955,111,743,226,320,59,65,7,11,27,143,184,240,31,133,367,353,135,66,362,29,34,310,23,0,22,98,227,22,40,426,409,81,99,112,123,505,1,168,95,52,110,57,8,0,317,3,119,202,165,128,128,83,33,221,7,5,131,197,51,75,34,70,2,72,60,85,15,366,24,9,227,11,21,4,121,37,1,66,25,9,32,27,97,1,27,3,135,38,17,122,89,66,24,169,309,27,0,209,6,37,67,0,9,144,15,137,22,31,22,62,40,12,12,42,36,37,57,26,51,6,236,68,22,43,70,677,5,14,0,1,38,23,5,93,19,0,106,1,1,5,0,4,184,112,3,26,20,88,0,9,29,22,0,0,4,32,13,29,19,16,1,54,15,17,0,17,1,1,3,4,0,55,64,35,1,17,1,16,9,48,1,5,67,3,4,2,0,23,12,0,1,0,12,0,0,1,3,1,1,10,19,39,32,20,0,2,7,0,26,2,0,1,0,33,2,28,35,22,11,43,25,41,4,3,0,0,28,12,13,1,14,0,1,0,16,0,1,5,2,18,6,9,9,11,12,9,5,10,11,18,0,3,12,7,4,25,11,16,13,0,0,6,0,1,2,18,32,2,2,0,18,16,28,2,4,4,0,3,0,0,0,1,2,8,3,0,21,0,4,4,3,2,0,0,0,0,0,3,6,0,2,0,5,25,15,3,0,0,1,10,0,6,0,0,4,1,0,2,0,4,3,1,1,0,0,0,3,4,0,6,0,0,2,6,10,2,1,1,5,1,1,0,0,0,0,3,1,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,H6E8A10
199,28,1081,204,213,120,1106,23,71,18,136,82,7,4,1,34,83,23,559,29,46,127,429,255,29,49,274,11,203,15,5,6,14,339,31,34,104,639,36,81,28,189,197,2,28,10,35,15,36,74,7,312,2,21,29,101,76,116,174,57,305,54,59,26,70,38,18,16,47,6,0,42,23,9,85,16,0,20,10,7,2,29,418,0,22,38,12,25,71,41,1,12,38,112,41,7,20,22,75,5,14,105,15,0,82,1,18,41,9,17,140,4,45,29,47,31,7,11,10,33,12,23,2,17,4,17,1,202,34,18,8,10,77,11,2,0,9,14,3,6,22,39,0,90,4,6,3,1,4,246,112,27,83,10,4,3,2,17,24,1,7,7,9,5,14,8,15,3,13,15,3,1,58,2,2,9,44,0,22,4,28,3,7,5,14,14,8,11,31,24,0,21,0,0,5,11,5,0,0,4,0,4,0,0,5,19,45,66,7,16,32,1,1,0,0,2,3,2,0,0,12,0,11,8,7,3,4,4,5,7,5,1,5,5,8,19,2,8,0,1,0,6,0,2,1,31,8,2,6,2,14,3,5,7,11,10,6,0,13,1,4,0,9,6,2,13,1,0,57,2,0,5,5,64,0,0,0,0,0,7,6,4,3,0,6,0,0,1,1,2,3,4,1,43,1,0,6,4,0,1,0,0,3,6,3,15,0,14,4,11,0,15,1,0,0,0,22,1,2,7,0,30,0,4,0,0,13,4,0,24,0,1,2,0,1,0,6,4,3,0,1,0,0,0,1,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C7G1C7
112,10,331,60,90,58,362,13,67,9,44,0,8,2,3,9,29,7,32,3,12,71,16,0,9,74,0,6,40,4,0,3,5,49,6,7,118,0,13,43,14,0,115,3,48,13,5,16,19,51,0,1,1,6,18,35,1,12,0,0,36,1,0,11,7,25,9,5,8,3,0,23,31,6,28,3,0,61,7,3,0,9,0,1,44,0,6,0,1,12,2,12,18,23,9,5,13,8,30,6,14,37,3,0,33,0,5,12,2,0,0,1,3,8,0,9,11,6,4,0,10,7,5,9,2,11,1,29,2,5,11,9,58,5,2,0,1,2,2,3,6,7,0,40,0,2,0,0,1,0,0,5,1,5,7,0,1,4,13,0,0,0,4,1,3,4,3,0,8,11,2,0,0,2,0,6,0,0,15,3,12,1,3,0,7,1,11,0,0,1,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,7,1,0,0,0,2,0,7,1,2,1,4,4,2,0,0,3,0,1,6,0,4,4,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,2,0,2,1,0,0,0,0,1,0,7,1,0,0,0,0,0,1,6,3,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8C2E8
16,3,210,33,12,51,72,4,0,8,18,23,0,2,0,3,7,1,261,2,16,20,111,32,1,1,43,0,82,6,0,7,0,16,25,11,10,78,11,9,2,64,29,1,4,8,0,1,1,43,0,83,0,13,6,8,21,68,23,15,3,53,0,5,1,4,4,0,5,1,0,1,18,3,0,3,0,0,14,0,0,2,44,1,14,14,11,1,20,13,1,2,19,6,4,1,3,0,3,0,0,76,6,0,24,2,3,8,1,0,40,1,2,7,7,4,5,5,2,7,8,4,2,6,1,1,0,44,0,1,5,1,0,1,0,0,3,0,1,1,3,6,0,5,1,2,0,0,1,51,29,11,12,1,1,1,0,0,3,1,9,2,1,3,3,1,0,2,1,1,0,0,11,0,0,3,32,0,9,0,8,0,0,0,3,0,1,3,1,14,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,3,4,3,0,15,5,0,0,0,0,1,0,2,0,0,0,1,1,1,1,0,0,0,3,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,5,0,2,0,7,0,3,2,2,0,1,0,3,0,4,0,0,0,0,8,0,0,6,0,1,0,0,26,0,0,0,0,1,0,0,1,0,0,9,0,4,0,0,0,0,0,0,10,0,0,1,0,0,1,0,1,0,2,0,0,0,0,4,1,0,5,1,0,0,2,2,0,2,2,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,6,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G6E12C7
49,9,192,62,43,19,144,5,2,5,22,11,2,0,4,3,14,3,114,1,5,22,75,27,4,24,59,3,68,0,0,2,2,26,2,4,43,95,9,14,6,15,37,0,13,2,3,6,6,4,0,29,0,2,7,17,25,36,19,10,16,4,4,6,3,11,4,2,4,0,0,7,9,0,21,3,2,20,3,0,0,9,73,0,12,6,2,0,17,6,0,0,2,20,3,0,1,8,19,0,6,54,5,0,23,0,6,4,0,1,10,2,4,3,10,5,3,1,2,6,2,1,1,1,2,5,0,35,2,3,1,4,0,2,1,0,1,3,2,1,1,3,0,7,4,0,0,0,0,20,15,2,12,2,0,0,0,4,5,0,1,1,0,1,3,1,3,0,0,5,0,0,6,0,0,5,5,0,4,1,3,0,2,1,0,3,5,0,5,11,0,6,0,0,1,1,4,0,0,1,0,0,0,0,0,0,14,7,1,7,4,0,0,1,0,4,0,1,1,0,2,2,2,3,0,0,6,1,1,2,2,1,1,2,4,6,2,0,0,1,0,0,0,0,0,4,3,0,10,0,3,0,2,0,0,1,0,0,1,2,1,0,0,4,0,3,0,0,10,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,1,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,2,0,2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8C7G5
63,0,244,61,48,5,133,7,1,12,18,11,0,1,0,1,1,6,51,4,6,39,131,54,4,20,14,6,36,0,6,1,1,31,1,5,17,64,6,4,4,15,18,0,5,2,1,3,5,2,1,27,0,13,13,28,21,37,37,17,26,13,1,5,5,5,8,4,6,0,0,5,10,2,10,0,1,6,3,2,0,7,17,2,8,14,0,0,7,18,0,0,0,1,1,1,8,2,6,0,6,14,7,0,20,1,5,3,0,4,9,1,6,2,5,3,1,1,0,3,2,5,2,6,0,4,0,31,0,0,2,3,2,0,0,0,1,3,2,1,6,1,0,4,0,0,0,0,0,9,8,2,4,2,2,0,1,2,1,0,0,0,3,0,3,0,3,0,3,0,1,1,3,0,2,4,14,0,6,0,3,0,4,6,3,1,3,0,0,21,1,0,2,0,2,1,0,0,0,0,0,2,0,0,0,0,5,1,4,5,6,0,0,0,0,2,0,1,0,0,3,1,1,2,0,1,0,0,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,2,0,0,3,1,1,1,1,0,0,3,1,2,0,0,1,0,2,0,0,4,0,2,0,0,3,0,1,2,2,22,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,1,1,0,1,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G8G6D9
17,4,98,19,9,2,74,6,379,1,8,0,2,0,0,1,0,4,63,0,7,11,23,17,4,20,54,6,74,3,0,0,4,8,0,0,10,50,1,10,5,0,23,0,3,3,2,1,7,2,0,5,0,8,5,6,5,35,7,5,13,4,2,4,0,0,2,3,0,0,25,0,10,1,12,1,0,9,0,0,0,4,61,3,10,4,0,0,10,2,0,0,0,0,2,2,4,2,5,0,8,70,4,0,4,0,1,2,0,0,23,1,0,2,3,6,0,2,2,0,1,3,4,3,0,1,2,10,0,0,2,4,296,0,1,0,0,0,0,0,2,0,0,14,0,0,1,0,0,3,18,2,15,0,3,0,0,0,2,0,0,0,0,4,0,0,1,0,0,7,1,0,0,0,1,4,6,0,0,4,8,0,0,0,0,0,3,0,2,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,0,2,0,1,0,6,0,0,2,1,0,0,0,4,0,2,1,0,1,1,8,0,0,6,0,0,3,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,12,1,0,0,0,0,3,0,1,1,0,2,0,2,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,H8D9B12
6,0,15,16,7,17,25,0,168,5,0,0,1,0,0,0,429,4,21,0,2,4,0,0,0,23,0,1,90,1,0,0,1,2,4,2,8,0,0,0,0,0,0,0,2,0,0,0,3,30,0,0,0,0,1,2,0,0,0,0,4,0,0,1,20,2,1,0,2,0,132,1,0,1,11,1,0,12,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,282,3,0,0,0,4,0,7,79,0,0,0,0,0,7,0,0,0,0,12,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,9,0,13,0,174,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A6C11A10
57,14,187,75,60,7,232,7,9,10,38,0,6,3,3,1,1,3,6,3,3,43,3,0,5,11,0,0,11,6,0,1,8,31,7,3,60,0,6,5,10,0,96,0,12,8,15,7,11,9,0,2,2,2,11,15,0,0,0,0,22,0,0,10,0,10,9,4,5,0,0,7,4,4,26,6,0,2,0,5,0,1,0,0,2,0,4,0,0,13,0,7,3,1,4,2,13,3,8,2,9,13,7,0,21,1,4,9,0,5,0,2,0,0,0,1,12,3,2,0,7,2,3,4,6,4,0,23,0,0,4,11,15,2,3,0,0,4,0,0,7,0,0,7,0,0,0,0,1,1,0,3,0,0,0,0,1,1,2,0,0,0,3,1,2,0,2,0,5,0,1,0,0,0,0,1,0,0,3,2,2,0,1,0,1,0,5,0,0,0,0,2,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,1,1,0,0,0,3,0,0,2,0,0,0,5,7,0,1,4,0,0,0,0,0,0,3,3,0,1,0,0,0,0,3,0,0,0,0,1,1,1,0,0,1,0,0,2,3,3,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D5A7G9
13,1,171,15,7,13,33,4,17,3,16,12,0,4,2,0,0,4,79,0,1,13,89,52,1,0,74,0,14,2,0,7,1,8,3,7,3,145,17,4,0,28,5,0,3,2,1,1,1,8,0,25,0,2,0,10,26,41,23,8,1,5,1,3,3,1,0,2,3,0,0,1,1,1,3,2,0,0,1,2,0,2,101,1,1,10,2,3,18,0,0,0,1,0,2,0,3,0,7,1,3,12,0,0,11,0,0,5,0,1,25,0,3,3,5,0,3,0,3,6,0,0,0,2,0,2,2,23,2,0,5,1,18,1,1,0,1,0,1,3,0,0,0,4,4,0,0,0,0,20,18,1,11,3,0,1,0,5,0,0,1,0,2,1,3,0,1,0,0,2,0,0,3,0,0,0,1,0,5,0,1,2,1,0,0,2,0,0,3,11,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,1,1,0,2,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,1,2,1,0,0,2,0,5,0,1,0,0,0,1,0,0,0,4,5,0,1,1,3,0,2,0,4,0,0,0,0,0,4,0,0,0,1,4,0,0,4,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G5H1G7
