GHITM_1,EIF2S2_13,MARVELD1_4,EIF2S2_6,ARL5B_38,MARVELD1_10,ARL5B_24,SCAF8_27,MARVELD1_1,NEFH_9,ARL5B_8,MARVELD1_7,GHITM_17,NEFH_22,EIF2S2_5,SCAF8_26,ARL5B_42,EIF2S2_19,NEFH_11,SCAF8_36,EIF2S2_24,SCAF8_5,EIF2S2_22,MARVELD1_13,GHITM_4,SCAF8_9,GHITM_6,SCAF8_2,SCAF8_15,ARL5B_44,SCAF8_7,MARVELD1_23,NEFH_21,NEFH_13,GHITM_16,GHITM_12,SCAF8_35,SCAF8_1,EIF2S2_21,SCAF8_6,SCAF8_13,MARVELD1_17,SCAF8_4,MARVELD1_5,GHITM_15,SCAF8_25,GHITM_5,GHITM_18,ARL5B_49,ARL5B_7,ARL5B_4,NEFH_5,SCAF8_39,NEFH_28,SCAF8_21,NEFH_23,GHITM_19,NEFH_8,NEFH_24,SCAF8_3,ARL5B_37,GHITM_9,EIF2S2_15,SCAF8_32,SCAF8_23,NEFH_31,SCAF8_14,SCAF8_16,MARVELD1_8,ARL5B_6,ARL5B_51,ARL5B_21,ARL5B_41,NEFH_26,ARL5B_30,SCAF8_17,NEFH_17,ARL5B_26,MARVELD1_20,ARL5B_9,NEFH_16,NEFH_4,SCAF8_44,MARVELD1_15,ARL5B_29,ARL5B_14,ARL5B_31,NEFH_12,ARL5B_46,SCAF8_29,GHITM_10,MARVELD1_2,ARL5B_25,SCAF8_22,ARL5B_28,NEFH_20,NEFH_14,ARL5B_47,SCAF8_38,NEFH_6,EIF2S2_20,ARL5B_52,EIF2S2_16,ARL5B_2,NEFH_29,SCAF8_37,ARL5B_15,GHITM_3,ARL5B_53,EIF2S2_23,SCAF8_42,ARL5B_36,NEFH_15,GHITM_11,EIF2S2_7,NEFH_25,ARL5B_27,MARVELD1_22,MARVELD1_12,GHITM_13,GHITM_20,GHITM_8,NEFH_10,MARVELD1_16,EIF2S2_11,SCAF8_41,EIF2S2_10,ARL5B_3,NEFH_18,SCAF8_20,ARL5B_34,EIF2S2_8,SCAF8_11,ARL5B_10,SCAF8_40,EIF2S2_12,EIF2S2_4,ARL5B_39,ARL5B_40,NEFH_7,NEFH_3,MARVELD1_6,MARVELD1_11,ARL5B_35,MARVELD1_27,GHITM_7,MARVELD1_18,ARL5B_22,SCAF8_43,SCAF8_34,MARVELD1_25,ARL5B_23,MARVELD1_24,SCAF8_33,ARL5B_48,EIF2S2_3,NEFH_19,EIF2S2_2,ARL5B_11,ARL5B_13,ARL5B_32,SCAF8_8,EIF2S2_1,NEFH_2,SCAF8_10,NEFH_27,MARVELD1_21,SCAF8_18,ARL5B_33,MARVELD1_3,SCAF8_30,ARL5B_5,ARL5B_50,ARL5B_12,SCAF8_31,MARVELD1_9,SCAF8_19,ARL5B_43,MARVELD1_26,MARVELD1_14,GHITM_14,ARL5B_19,ARL5B_20,EIF2S2_17,ARL5B_16,ARL5B_1,GHITM_2,NEFH_30,MARVELD1_19,SCAF8_12,SCAF8_24,ARL5B_17,EIF2S2_18,ARL5B_45,NEFH_1,EIF2S2_9,EIF2S2_14,ARL5B_18,SCAF8_28,cell
2,0,1,0,0,0,1,2,1,0,2,0,0,0,2,4,0,0,0,0,1,1,3,1,6,2,0,1,0,1,0,0,0,2,4,1,4,2,0,0,0,1,3,0,0,0,5,4,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,2,1,2,0,0,2,0,0,1,1,1,1,0,2,0,0,0,0,2,1,4,0,2,0,4,2,3,3,1,0,0,2,3,0,3,0,3,0,0,1,3,0,0,4,0,0,0,2,0,0,1,1,2,0,1,2,0,0,2,1,4,0,0,0,3,2,0,1,0,5,1,0,1,0,1,2,1,0,12,1,3,0,1,4,0,0,0,0,1,0,3,0,2,0,1,1,0,0,2,0,1,0,0,0,1,1,1,1,0,2,0,1,2,1,6,0,0,5,0,1,5,0,2,5,0,3,3,1,0,0,3,1,1,G8B6A4
34,1,4,4,12,12,9,8,6,1,8,7,3,0,57,24,17,6,4,18,66,3,62,6,55,13,40,8,10,9,7,1,1,21,33,30,20,12,5,15,19,11,15,2,37,15,51,28,7,12,22,1,18,1,6,1,2,2,0,7,10,1,1,21,7,7,18,17,12,39,3,7,13,0,8,21,5,6,6,9,0,1,5,3,16,15,17,0,14,14,32,13,9,16,17,1,5,9,11,1,75,2,34,8,0,13,12,18,13,79,17,19,0,47,1,0,9,7,7,30,33,46,2,4,6,13,52,1,0,1,21,10,13,14,12,49,2,3,13,0,14,2,6,13,24,29,12,8,8,18,4,9,7,16,11,4,0,4,21,45,15,15,0,1,20,4,4,12,6,11,8,11,11,6,12,6,3,15,16,14,28,13,20,103,13,16,45,1,6,19,17,19,43,23,0,6,50,21,8,E7H5D4
9,1,1,0,0,1,4,10,1,0,3,2,0,1,21,5,1,7,14,5,28,2,18,4,9,6,11,2,4,1,2,0,8,0,13,14,7,5,2,7,5,5,6,0,8,11,12,9,1,1,4,0,9,1,3,0,0,0,0,1,4,0,1,2,2,4,5,5,2,4,2,1,0,1,2,6,4,1,1,2,1,0,2,1,4,4,3,0,3,2,7,2,3,6,3,0,0,2,2,1,17,1,22,3,0,7,3,3,1,39,14,4,0,14,1,0,0,6,2,7,21,12,0,0,3,1,27,0,0,1,1,4,6,3,6,26,0,0,2,0,9,1,0,3,13,11,2,4,3,3,1,3,3,2,3,1,0,0,4,19,6,9,0,2,4,2,0,6,4,1,4,1,2,0,4,2,0,1,0,4,8,3,17,46,2,8,12,0,0,5,0,0,17,0,1,2,25,4,4,G11F2F4
12,1,1,2,4,5,4,3,0,0,2,1,4,0,12,9,4,0,0,6,23,3,22,2,14,5,17,8,4,0,0,0,0,3,7,7,6,6,1,1,3,2,6,0,13,7,13,10,3,5,6,0,9,0,3,0,1,2,0,0,9,0,0,4,4,2,8,6,7,13,3,2,4,0,8,1,2,0,3,4,0,0,1,6,7,9,4,0,6,4,5,4,3,5,1,0,0,5,5,0,19,2,21,3,0,11,7,10,4,29,0,5,0,7,1,0,5,0,2,7,15,20,0,2,0,4,26,3,0,0,4,3,10,7,6,16,0,0,6,0,4,0,5,9,4,8,3,3,4,7,6,5,4,7,5,2,1,2,5,5,3,3,2,0,4,1,1,2,5,4,8,2,0,14,4,3,9,0,4,4,9,5,4,30,10,9,14,0,2,2,6,5,33,2,0,0,17,5,3,F7D1C4
4,0,0,0,3,1,2,6,1,0,3,1,0,0,17,8,2,0,0,7,21,2,18,0,12,4,7,4,2,2,1,0,0,3,8,6,6,4,0,5,9,1,12,0,11,7,13,4,1,6,0,1,10,0,3,0,0,1,0,5,2,0,0,5,1,1,4,7,1,5,0,4,2,0,2,6,3,2,2,11,0,1,3,3,6,1,0,0,7,5,4,1,1,10,0,0,0,4,3,0,18,11,16,2,0,8,2,7,1,23,5,2,0,11,0,0,2,0,0,8,7,14,0,1,2,4,28,0,0,2,2,0,7,5,7,15,2,0,3,0,0,0,1,1,4,8,4,1,6,8,4,0,2,7,0,1,1,1,3,13,4,3,0,0,4,0,0,3,3,0,5,2,4,5,5,1,4,2,6,2,6,3,5,21,0,3,12,0,0,6,2,4,19,3,0,0,20,1,10,C11D3C4
8,0,2,1,4,2,0,1,0,0,3,1,0,0,19,9,4,2,0,2,18,2,11,3,3,9,6,3,4,6,0,0,0,5,9,2,12,3,1,4,5,4,5,0,4,3,3,4,3,2,1,0,9,0,1,2,0,4,0,5,2,0,4,7,4,1,8,13,2,5,3,5,4,0,0,5,5,0,1,1,0,0,0,1,3,9,8,0,5,4,3,2,5,2,3,0,0,7,4,2,21,7,14,2,0,2,1,2,3,31,3,1,0,2,1,0,3,0,0,3,8,10,2,1,2,4,19,3,0,1,4,5,7,7,6,15,1,0,5,0,3,0,0,9,13,5,7,4,2,5,1,7,1,4,3,0,0,0,4,9,7,6,0,0,2,2,1,1,6,1,1,2,3,10,6,1,4,7,2,0,1,2,6,13,3,4,3,0,1,7,0,0,24,2,0,1,9,7,5,F7H4H4
2,1,0,1,0,2,1,1,0,0,2,1,0,1,10,1,3,4,7,3,4,0,5,1,6,1,5,7,0,0,4,0,6,0,5,9,2,0,0,1,1,3,2,0,6,3,10,1,2,0,0,0,2,0,1,0,0,1,0,0,2,0,0,2,2,5,1,1,0,5,2,3,0,0,2,4,3,1,0,3,1,0,2,0,3,0,0,0,2,0,4,0,1,0,0,0,0,1,0,0,8,1,0,0,0,0,1,4,3,9,11,1,1,1,0,0,1,4,4,4,5,6,0,1,0,2,6,1,0,3,2,1,2,1,3,9,0,0,2,0,2,0,4,2,10,8,0,0,1,1,0,1,2,0,2,0,1,0,3,11,4,1,0,1,2,1,0,1,4,1,3,2,1,1,1,1,1,4,1,1,1,2,8,16,3,4,6,0,4,3,1,2,12,6,0,0,5,1,0,G11C4E4
8,0,0,0,0,1,1,0,1,0,2,0,0,0,4,0,0,0,0,0,5,1,8,3,12,0,8,1,0,2,0,0,0,0,5,4,3,0,2,1,1,3,1,0,8,1,4,4,0,0,1,0,2,1,0,0,0,1,0,2,1,0,0,2,3,3,1,5,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,2,1,2,1,2,1,5,2,2,1,4,0,0,0,0,2,5,0,9,1,0,2,0,1,1,9,0,0,0,10,0,0,0,1,2,1,7,4,0,0,0,0,3,1,0,3,1,0,3,0,1,7,0,1,2,0,2,1,0,1,6,4,3,0,0,0,3,3,1,0,1,0,0,0,1,3,1,1,0,0,2,1,0,0,2,0,0,5,0,3,2,3,0,1,1,1,5,1,3,5,0,3,6,0,3,3,1,4,2,1,0,0,9,1,0,D8E4A4
1,0,0,2,0,1,0,2,0,0,2,0,1,0,4,6,2,0,0,1,7,0,8,1,7,4,0,2,0,0,3,0,0,0,2,8,1,0,0,1,1,2,2,0,2,2,3,3,0,3,2,0,2,0,1,0,1,1,0,2,3,0,0,2,1,2,3,1,0,1,0,3,4,0,0,0,4,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,1,0,0,1,0,0,5,0,7,0,0,4,0,3,2,13,4,0,0,9,0,0,10,0,0,3,4,5,0,1,0,0,8,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,5,4,1,4,2,2,0,3,0,0,1,0,0,0,0,5,0,2,0,0,1,1,0,0,2,0,3,2,2,0,1,1,4,5,0,0,5,0,0,5,1,6,1,0,1,1,2,0,0,1,0,2,5,0,1,B8D3H4
36,2,8,2,4,15,9,11,2,0,8,3,0,1,43,20,13,3,0,9,76,11,59,10,38,11,32,11,6,4,13,2,0,5,30,11,34,14,1,14,13,9,15,2,36,17,31,21,6,3,8,1,11,2,9,1,0,3,3,13,6,2,3,18,6,12,9,10,3,12,3,6,5,0,2,15,6,4,13,15,1,0,13,7,12,16,5,1,7,12,19,8,5,7,5,0,1,2,13,0,66,3,34,7,0,11,8,9,16,100,9,7,0,32,3,0,7,2,18,27,45,58,1,11,3,14,69,2,0,7,12,7,11,8,16,40,2,4,3,0,13,7,6,9,123,32,14,9,12,8,11,6,12,19,3,2,0,0,4,7,10,11,1,4,23,4,5,5,14,11,12,7,14,7,8,14,10,6,12,11,26,4,38,65,8,23,42,1,7,19,10,8,52,9,0,4,49,19,18,D12G5B4
