GFP,mNG,cell
929,2,A1A11H2
1745,0,A1A12A2
521,1,A1A8A2
6,493,A1B11A2
904,0,A1B7B2
4,107,A1C7F2
2,269,A1C7H2
909,0,A1C8B2
15,1297,A1C8H2
6,355,A1D7A2
2702,4,A1D7G2
215,4,A1E11A2
1416,0,A1F11F2
8,128,A1F8H2
702,4,A1F9A2
5653,11,A1F9E2
351,0,A2A11C2
166,0,A2A11H2
707,4,A2A8D2
204,1,A2B7G2
299,0,A2B8F2
586,0,A2C11A2
19,739,A2C12E2
228,0,A2D7C2
5,113,A2D9E2
223,1,A2E10A2
641,2,A2E8C2
521,1,A2E8E2
240,0,A2F10B2
122,1,A2F9F2
1176,15,A2F9H2
226,1,A2G7A2
7,115,A2G9D2
4,138,A2H10H2
3,109,A3A8B2
1447,1,A3A8E2
1622,4,A3A9F2
330,0,A3B11B2
2,198,A3C7A2
9,346,A3C9C2
5291,3,A3D10B2
6,113,A3D12G2
4,278,A3D9G2
3190,2,A3E10F2
12,345,A3E10G2
25,1108,A3E11G2
87,1,A3E12G2
615,2,A3F7H2
18,1386,A3F8D2
705,0,A3F9A2
540,1,A3G10H2
3533,1,A3G9C2
679,1,A3H10G2
16,574,A3H8F2
508,3,A4A10G2
14,710,A4A8F2
4241,6,A4C10E2
10,567,A4D11F2
1475,3,A4D12G2
1245,0,A4D7D2
6,259,A4D8C2
0,218,A4E11A2
89,1,A4E9E2
3180,315,A4G12D2
1048,3,A4G12G2
984,0,A4H11H2
275,1,A4H8C2
909,1,A5A10B2
5,302,A5B10B2
32,738,A5B12H2
5,76,A5C10H2
8,245,A5D8F2
678,1,A5D9H2
2501,369,A5E8E2
2164,1,A5E8H2
433,0,A5F10F2
12,567,A5F8D2
334,1,A5G7G2
5135,4,A5H11F2
18,790,A6A10H2
708,0,A6A11G2
3,132,A6C7A2
918,1,A6D11E2
231,32,A6D8G2
8,156,A6D9B2
1437,2,A6E10D2
8,409,A6F9D2
5,355,A6F9G2
257,2,A6G12B2
1,307,B1A11F2
99,17,B1A7H2
77,0,B1B11H2
1125,594,B1C9B2
1269,0,B1D10H2
2490,3,B1D7H2
2,96,B1D8A2
2370,5,B1E8H2
20,259,B1F11G2
5,412,B1F8C2
68,1531,B1F9H2
1153,0,B1G9E2
13,1348,B1H10G2
7,174,B1H9A2
1333,1,B1H9H2
5,615,B2A7C2
11,314,B2A9E2
7,302,B2B7F2
470,2,B2C12E2
6,256,B2D9A2
807,3,B2D9C2
560,0,B2E10H2
494,2,B2E7B2
243,0,B2E7D2
21,640,B2F10E2
3040,5,B2F11E2
6,335,B2F8D2
681,0,B2F8E2
4,88,B2F8G2
1036,0,B2F9H2
4,279,B2G12F2
1293,2,B3A9G2
811,1,B3C7C2
1327,2,B3C9H2
2,222,B3E8B2
192,1,B3E8E2
1192,7,B3F11C2
24,1387,B3F11H2
433,2,B3G12G2
175,0,B4D9H2
0,84,B4F7H2
104,2,B4G9G2
192,2,B5A12H2
759,1,B5C10D2
145,0,B5C7B2
148,0,B5C7H2
114,0,B5E7D2
7,169,B5E9G2
1149,5,B5F9A2
5,293,B5G12A2
7,92,B5H10A2
130,0,B5H7E2
32,1808,B5H8C2
9,596,B5H8H2
4,275,B6B10E2
6,227,B6B7E2
13,411,B6B7G2
17,540,B6C9B2
6,160,B6G12G2
1397,2,B6H11H2
1895,0,C1A12H2
3612,3,C1B10G2
1771,1,C1B8A2
26,2002,C1C12G2
319,2,C1D10D2
10,229,C1D10E2
16,481,C1D8H2
97,3,C1F11C2
3,463,C1F11D2
906,4,C1F7G2
15,649,C1G12D2
13,596,C1H8F2
6,238,C2A10A2
152,5,C2A7H2
385,0,C2B11F2
516,2,C2C10H2
4,246,C2C11G2
13,254,C2C9A2
8,194,C2D8D2
1059,3,C2E10G2
4,348,C2E9E2
24,371,C2F7C2
3,178,C2F7F2
7096,12,C2F7H2
10,271,C2G11H2
4,261,C3B12E2
7,117,C3D7B2
171,1,C3E7E2
