,MARVELD1_10,NEFH_3,NEFH_21,ARL5B_29,EIF2S2_15,MARVELD1_5,SCAF8_24,ARL5B_52,SCAF8_16,SCAF8_29,SCAF8_34,SCAF8_33,EIF2S2_16,ARL5B_9,ARL5B_15,MARVELD1_12,SCAF8_11,NEFH_8,NEFH_18,SCAF8_32,SCAF8_31,NEFH_25,SCAF8_41,ARL5B_11,SCAF8_6,GHITM_2,NEFH_24,NEFH_29,ARL5B_2,SCAF8_22,ARL5B_50,ARL5B_7,NEFH_4,SCAF8_7,SCAF8_4,ARL5B_18,ARL5B_20,NEFH_13,EIF2S2_4,ARL5B_19,EIF2S2_13,NEFH_7,SCAF8_21,MARVELD1_25,EIF2S2_19,ARL5B_38,NEFH_14,ARL5B_31,ARL5B_16,EIF2S2_7,NEFH_6,ARL5B_36,ARL5B_10,NEFH_17,EIF2S2_20,MARVELD1_20,NEFH_9,NEFH_16,NEFH_11,ARL5B_5,EIF2S2_9,MARVELD1_8,ARL5B_21,ARL5B_43,ARL5B_46,NEFH_5,ARL5B_34,ARL5B_41,EIF2S2_12,ARL5B_22,ARL5B_35,MARVELD1_3,ARL5B_14,NEFH_20,MARVELD1_18,MARVELD1_13,GHITM_18,SCAF8_8,ARL5B_47,MARVELD1_22,SCAF8_36,SCAF8_26,EIF2S2_14,MARVELD1_26,SCAF8_10,EIF2S2_5,SCAF8_44,SCAF8_3,ARL5B_24,GHITM_9,SCAF8_17,GHITM_4,EIF2S2_21,SCAF8_1,ARL5B_25,EIF2S2_11,SCAF8_18,ARL5B_42,GHITM_17,MARVELD1_19,NEFH_26,GHITM_1,MARVELD1_21,ARL5B_48,SCAF8_14,ARL5B_53,MARVELD1_9,NEFH_28,ARL5B_51,GHITM_8,MARVELD1_27,MARVELD1_15,ARL5B_44,EIF2S2_18,MARVELD1_24,SCAF8_30,SCAF8_38,SCAF8_43,GHITM_16,ARL5B_37,MARVELD1_2,MARVELD1_7,EIF2S2_1,ARL5B_39,NEFH_1,SCAF8_25,EIF2S2_3,GHITM_12,SCAF8_19,EIF2S2_24,EIF2S2_6,SCAF8_9,GHITM_19,ARL5B_4,SCAF8_39,ARL5B_3,SCAF8_35,NEFH_23,EIF2S2_22,SCAF8_42,GHITM_7,ARL5B_1,NEFH_31,ARL5B_28,SCAF8_13,SCAF8_23,ARL5B_33,NEFH_30,GHITM_11,EIF2S2_10,NEFH_12,GHITM_14,SCAF8_27,NEFH_22,GHITM_3,NEFH_2,ARL5B_27,SCAF8_15,NEFH_27,NEFH_10,EIF2S2_23,ARL5B_12,MARVELD1_6,NEFH_15,GHITM_5,MARVELD1_1,ARL5B_26,ARL5B_45,ARL5B_23,ARL5B_32,EIF2S2_8,GHITM_13,MARVELD1_11,ARL5B_40,GHITM_10,SCAF8_40,ARL5B_49,MARVELD1_23,ARL5B_17,EIF2S2_2,ARL5B_8,SCAF8_2,MARVELD1_17,GHITM_15,ARL5B_13,MARVELD1_14,SCAF8_20,GHITM_20,ARL5B_30,MARVELD1_16,MARVELD1_4,ARL5B_6,NEFH_19,GHITM_6,SCAF8_37,SCAF8_5,EIF2S2_17,SCAF8_28,SCAF8_12,cell
0,0,6,0,0,2,2,0,0,1,2,3,1,9,3,1,0,1,0,0,4,0,0,2,1,2,7,0,0,1,2,2,0,1,2,2,9,0,2,0,1,1,0,0,0,0,0,0,1,2,0,0,4,4,54,9,1,0,0,0,3,0,0,1,0,2,3,3,1,9,0,0,0,2,0,1,0,5,0,0,0,2,7,2,2,2,13,0,0,1,0,3,9,3,1,3,0,2,0,0,0,0,6,0,1,1,0,0,1,1,5,7,0,0,4,1,1,1,2,11,4,5,0,0,0,0,3,0,8,2,4,0,1,0,3,2,0,2,0,5,6,7,5,1,3,3,0,2,1,8,9,0,1,3,0,2,0,2,0,0,0,15,0,0,0,8,0,2,2,1,1,5,0,0,1,3,0,0,0,2,0,3,3,1,4,4,0,1,12,0,1,0,2,0,9,0,1,7,4,4,G12G5C4
1,1,4,2,1,1,0,2,0,2,0,2,1,9,0,6,1,0,2,0,2,1,0,2,4,1,13,0,0,0,2,2,3,0,2,1,1,2,0,1,0,1,1,1,2,0,5,0,3,6,0,3,4,7,19,11,3,0,0,0,1,1,1,2,5,1,0,8,2,10,2,0,1,6,0,2,0,9,2,2,1,0,11,14,3,3,13,0,0,2,2,2,8,1,0,6,0,0,6,0,1,0,12,4,1,0,4,2,2,0,9,8,0,0,9,2,0,0,0,8,7,2,4,0,1,0,1,1,7,1,7,2,3,1,0,2,1,1,1,10,0,3,5,3,3,2,0,4,0,10,5,1,8,1,0,3,1,3,3,0,0,17,0,1,0,12,0,1,6,1,2,0,4,1,1,4,0,1,0,4,1,1,2,2,5,6,1,1,8,1,2,2,2,0,14,1,1,11,0,2,A8F4F4
2,0,4,0,3,0,0,2,0,4,1,1,2,7,7,4,2,2,0,0,6,1,0,5,2,5,6,0,0,2,6,0,2,0,9,2,11,1,5,0,2,0,0,1,0,1,0,0,0,0,1,1,2,3,31,15,2,0,0,0,1,2,0,2,0,3,1,1,1,14,0,1,0,0,0,3,2,3,3,4,0,2,7,10,2,5,10,1,4,3,0,1,6,2,8,0,1,0,1,0,1,0,1,0,2,4,3,2,2,2,6,5,1,0,7,1,2,2,0,5,2,1,1,2,0,0,1,1,4,2,9,1,2,0,3,2,0,5,0,9,5,9,0,0,2,1,2,4,0,13,8,0,5,6,0,2,0,2,1,0,0,18,0,0,0,9,0,0,3,0,1,6,10,2,1,5,0,0,1,3,0,3,2,1,7,2,1,4,10,1,0,3,1,0,8,2,2,12,2,3,G12H6F4
3,5,21,36,19,7,3,28,9,30,24,16,26,80,11,13,9,22,3,0,12,13,2,18,31,26,48,1,0,14,15,16,19,3,20,13,20,52,11,4,12,3,1,14,7,23,6,2,9,15,5,2,9,12,15,90,7,0,0,41,5,5,14,17,4,16,2,10,18,66,16,11,5,8,1,15,15,38,33,11,18,24,22,74,16,26,86,14,12,12,4,14,63,3,23,9,2,23,17,3,9,0,46,5,5,14,10,13,3,8,62,47,6,11,108,15,16,12,9,41,12,14,13,7,7,2,24,0,39,20,118,4,29,1,14,26,5,35,0,87,47,57,24,19,9,14,13,17,0,56,122,0,39,20,4,22,2,13,12,8,5,124,16,7,0,76,5,7,23,18,24,11,50,5,10,42,19,5,6,11,7,8,10,13,50,75,8,22,71,15,10,7,27,0,63,13,15,171,13,15,G11C4A4
4,3,4,0,6,4,1,6,5,4,3,5,8,19,4,4,9,4,2,0,6,4,0,10,5,5,12,0,0,6,5,7,2,0,8,3,6,7,4,1,5,2,1,2,3,0,1,0,2,6,1,1,4,6,5,25,3,0,0,0,12,1,1,5,3,4,1,0,0,22,2,3,2,3,1,4,2,17,3,4,1,5,9,25,8,3,18,2,5,3,0,5,27,2,4,5,1,1,6,3,10,1,12,0,2,7,5,2,1,5,19,14,3,4,23,3,3,6,7,25,3,3,0,0,3,0,6,2,10,3,19,1,2,0,12,4,3,3,0,16,4,18,5,6,4,4,4,1,0,21,34,0,6,9,1,3,1,4,4,0,1,26,4,2,0,20,1,5,9,8,11,6,6,1,4,8,3,2,2,7,2,7,7,13,12,12,6,6,29,0,2,4,8,0,26,8,10,26,9,4,D8B5E4
5,6,6,3,6,0,4,2,5,7,4,3,3,23,4,1,7,6,2,0,8,6,0,8,6,6,16,0,0,0,4,2,5,5,2,7,14,4,0,0,5,1,1,4,5,0,9,0,29,2,1,2,8,0,10,24,6,2,2,0,6,0,5,0,3,3,1,2,5,29,7,3,0,2,2,6,6,15,4,2,1,3,35,23,2,17,30,4,3,1,0,6,23,1,1,6,3,3,1,2,6,0,21,3,3,5,4,5,0,7,12,19,1,0,26,4,5,2,4,18,4,8,0,0,5,0,6,1,17,3,22,0,7,1,0,10,3,12,0,22,7,16,12,5,4,10,1,4,0,33,38,1,15,6,0,3,0,2,3,47,0,59,5,4,0,23,4,2,2,3,5,3,13,7,2,19,8,4,2,8,3,3,12,10,16,4,9,11,18,4,7,3,10,2,22,8,6,38,3,8,G9F1A4
6,4,2,2,2,1,0,8,3,6,5,4,5,18,3,5,1,7,1,0,5,3,1,6,0,10,23,0,0,1,6,3,5,1,7,12,7,2,5,3,4,0,0,5,2,2,0,0,7,4,0,1,1,8,1,31,1,0,2,0,2,0,1,1,1,2,1,3,1,14,2,2,2,4,1,2,4,15,9,5,2,4,12,25,3,8,25,2,1,1,0,3,20,0,7,1,2,3,1,0,2,0,10,1,2,8,2,2,0,1,32,10,1,1,32,0,3,1,2,11,2,1,1,2,4,0,5,1,4,6,36,0,3,0,1,10,1,7,0,18,5,17,2,5,1,6,4,5,0,17,36,0,10,19,0,7,0,3,3,21,0,51,4,1,0,15,0,0,7,1,2,3,9,0,2,9,13,0,0,5,1,2,10,3,17,2,3,8,9,0,1,1,3,0,22,5,2,31,7,8,G9D3A4
7,2,0,1,0,0,0,1,1,0,0,0,3,7,0,0,3,2,0,0,7,1,1,1,1,2,4,1,0,1,1,0,1,0,1,4,4,0,0,0,3,1,0,2,0,2,0,0,1,0,0,0,2,0,5,10,0,0,1,0,1,4,1,0,1,1,0,0,1,8,0,0,0,0,0,4,4,5,2,4,5,2,3,9,1,1,4,0,1,1,0,2,10,0,2,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,6,9,0,0,6,0,2,5,0,9,3,1,2,1,0,0,3,0,1,3,12,0,1,0,0,4,0,3,0,10,3,1,4,2,0,2,2,4,0,6,4,0,5,5,0,1,0,0,0,1,1,10,1,0,0,3,1,0,1,1,1,1,4,0,0,9,0,0,0,4,0,2,0,1,7,6,2,1,6,2,1,1,1,0,5,2,0,9,0,7,A9A5D4
8,1,2,1,6,2,0,7,2,3,2,6,6,29,12,4,3,0,1,0,2,6,0,11,7,4,15,0,0,0,3,3,5,0,1,4,9,6,5,3,5,0,1,2,1,1,2,0,9,5,1,1,8,2,4,34,2,0,0,0,10,1,2,1,3,7,0,7,2,10,4,6,3,1,1,6,0,9,7,1,0,6,7,30,1,7,25,5,4,4,0,5,19,2,4,6,1,1,3,2,1,0,10,0,2,7,3,1,0,3,19,11,0,5,33,1,5,2,3,14,5,4,0,0,3,0,6,0,11,8,28,1,5,0,3,6,0,9,0,28,4,29,4,4,9,3,3,5,0,15,40,0,16,4,0,8,1,4,2,9,0,57,4,0,0,10,0,2,4,2,6,3,9,0,9,14,3,3,0,4,1,3,3,3,9,11,5,2,19,5,2,1,4,0,21,4,6,42,3,5,G9F1F4
9,0,3,0,2,1,0,3,2,2,1,4,2,12,0,1,1,1,1,0,2,1,0,1,0,1,2,0,0,3,3,2,2,0,3,2,3,1,3,0,0,2,0,1,2,1,1,0,2,0,0,0,2,5,6,15,0,0,0,0,3,0,1,2,1,2,0,2,0,15,1,2,0,1,0,1,4,3,3,5,0,3,2,5,3,4,10,2,3,1,0,2,12,0,1,6,1,1,2,0,0,1,6,0,1,7,4,1,2,1,1,10,1,0,6,0,3,2,2,6,1,1,1,1,2,0,2,0,2,2,14,0,5,0,1,9,0,5,0,12,0,5,2,1,2,1,1,1,0,5,11,0,8,2,0,3,0,1,1,0,0,23,1,0,0,4,0,0,0,0,0,8,6,1,2,9,5,0,0,2,0,1,0,2,6,6,1,3,6,3,3,0,3,1,8,3,1,15,1,8,A7B2F4
