HEK 293.C8	enstid
53.838501	ENST00000373020
0.0	ENST00000494424
7.1490302	ENST00000496771
1.6190799	ENST00000612152
0.0	ENST00000614008
0.117871	ENST00000373031
0.0	ENST00000485971
1.44303	ENST00000371582
1.87068	ENST00000371584
44.2980003	ENST00000371588
0.0	ENST00000413082
1.99984	ENST00000466152
0.0	ENST00000494752
0.0	ENST00000367770
1.13609	ENST00000367771
2.5024199	ENST00000367772
0.62802	ENST00000423670
0.410302	ENST00000470238
0.740919	ENST00000286031
5.3669801	ENST00000359326
2.9890299	ENST00000413811
1.81068	ENST00000459772
0.0	ENST00000466580
1.14929	ENST00000472795
0.0	ENST00000481744
6.6259499	ENST00000496973
1.27982	ENST00000498289
0.0	ENST00000374003
0.0	ENST00000374004
0.0	ENST00000374005
0.0	ENST00000399173
0.0	ENST00000457296
0.0	ENST00000468038
0.0	ENST00000475472
0.0	ENST00000359637
0.0	ENST00000367429
0.0	ENST00000466229
0.0	ENST00000470918
0.0	ENST00000496761
0.0	ENST00000630130
82.668602	ENST00000002165
3.24898	ENST00000367585
3.21313	ENST00000451668
19.7807999	ENST00000229416
0.0	ENST00000504353
0.473147	ENST00000504525
0.0	ENST00000505197
0.0	ENST00000505294
1.18264	ENST00000509541
0.0	ENST00000510837
1.7060601	ENST00000513939
1.56399	ENST00000514004
0.0	ENST00000514373
3.6125901	ENST00000514933
0.440789	ENST00000515580
0.0	ENST00000616923
5.1117702	ENST00000643939
29.6243	ENST00000341376
5.4559898	ENST00000353205
0.536072	ENST00000003583
5.4658399	ENST00000337248
0.0	ENST00000374409
0.0	ENST00000435187
0.0	ENST00000438866
0.300122	ENST00000468303
0.556193	ENST00000475760
0.657105	ENST00000483261
0.0	ENST00000483528
0.0	ENST00000492753
0.204751	ENST00000497384
0.298852	ENST00000498488
22.1513996	ENST00000003912
8.5854101	ENST00000339255
0.563488	ENST00000358028
5.77108	ENST00000374399
0.567022	ENST00000432012
0.831647	ENST00000475663
0.0	ENST00000488155
1.87073	ENST00000374804
58.2514992	ENST00000374807
14.3303003	ENST00000374811
1.14849	ENST00000469091
1.97776	ENST00000484069
11.2982998	ENST00000321037
0.0	ENST00000002829
0.894064	ENST00000413852
0.147594	ENST00000414301
0.0	ENST00000420831
0.323574	ENST00000426511
1.83e-05	ENST00000434342
0.5812	ENST00000450338
0.0	ENST00000470737
0.0	ENST00000493743
0.0443111	ENST00000003084
0.0	ENST00000426809
0.0	ENST00000429014
0.0	ENST00000446805
0.0	ENST00000468795
0.0	ENST00000472848
2.4918201	ENST00000546407
0.0	ENST00000600166
0.0	ENST00000608965
0.0	ENST00000610149
1.5217	ENST00000621535
13.4201002	ENST00000265742
1.11338	ENST00000413588
1.0043	ENST00000422095
0.0	ENST00000439883
0.0	ENST00000442183
0.821289	ENST00000465883
0.596308	ENST00000486698
58.5653992	ENST00000003100
0.508265	ENST00000422867
0.351126	ENST00000435873
21.0377998	ENST00000450723
0.0	ENST00000482924
1.15957	ENST00000340022
3.9776299	ENST00000394503
9.9133501	ENST00000394505
2.86834	ENST00000394507
1.42848	ENST00000412043
0.0	ENST00000413688
1.2146	ENST00000422347
0.0	ENST00000425073
0.0	ENST00000425919
1.47981	ENST00000430102
0.0	ENST00000433016
1.65957	ENST00000440209
5.0690098	ENST00000444960
9.99e-05	ENST00000445516
1.62809	ENST00000452773
0.0	ENST00000454017
0.0	ENST00000458177
2.66329	ENST00000458493
0.50824	ENST00000466166
2.9826801	ENST00000470309
1.58418	ENST00000475770
1.91895	ENST00000486261
0.0	ENST00000487168
1.52601	ENST00000489087
0.0	ENST00000228345
3.8830199	ENST00000358495
0.975021	ENST00000397230
1.15872	ENST00000430095
0.382589	ENST00000461568
1.00572	ENST00000463750
0.0	ENST00000468231
0.236814	ENST00000481052
0.989477	ENST00000488642
1.6076699	ENST00000535376
0.751102	ENST00000536177
0.0	ENST00000541619
8.9741497	ENST00000542297
0.0	ENST00000542584
0.0	ENST00000542785
0.0	ENST00000543912
0.0	ENST00000544742
1.34272	ENST00000545564
0.0	ENST00000545967
48.9921989	ENST00000309032
0.833379	ENST00000394531
2.17435	ENST00000394532
4.3772602	ENST00000492141
0.0	ENST00000493798
5.0966702	ENST00000544271
0.0	ENST00000544785
0.693766	ENST00000226299
0.463511	ENST00000503467
0.0	ENST00000504614
0.0	ENST00000507960
0.0	ENST00000508014
0.0	ENST00000508497
0.0	ENST00000509583
0.45985	ENST00000512397
0.0	ENST00000513105
19.8749008	ENST00000606142
19.9524002	ENST00000618908
1.16703	ENST00000381177
0.0	ENST00000381180
0.0	ENST00000381184
10.5179996	ENST00000381187
200.6309967	ENST00000381192
2.91453	ENST00000449611
0.0	ENST00000482293
0.0	ENST00000482405
0.0	ENST00000497752
0.0	ENST00000611428
0.0	ENST00000623253
61.1952019	ENST00000624481
2.7729101	ENST00000645950
0.749725	ENST00000646103
0.516595	ENST00000647297
0.016775	ENST00000002596
0.0	ENST00000510712
0.0	ENST00000514690
0.0	ENST00000360937
0.0	ENST00000416793
0.0	ENST00000460213
0.0	ENST00000467291
0.0	ENST00000480582
0.0	ENST00000483043
0.0	ENST00000493429
3.00155	ENST00000222462
2.09624	ENST00000361301
0.0	ENST00000395891
1.33766	ENST00000429529
0.0	ENST00000453890
0.0	ENST00000461842
0.0	ENST00000464944
0.0	ENST00000471043
0.0	ENST00000471527
0.0	ENST00000481031
0.346573	ENST00000490954
0.0792859	ENST00000492310
0.0	ENST00000493057
0.0	ENST00000265854
14.1863003	ENST00000399654
0.0	ENST00000402746
1.09569	ENST00000406869
0.0	ENST00000421113
1.04101	ENST00000429625
0.0	ENST00000429779
0.0	ENST00000437877
0.0	ENST00000438959
0.0	ENST00000444373
0.559436	ENST00000445959
0.0	ENST00000450235
1.18953	ENST00000455998
0.0	ENST00000459731
0.79517	ENST00000464742
0.0	ENST00000468372
0.0	ENST00000469871
0.0	ENST00000477172
0.0	ENST00000481633
0.0	ENST00000483165
0.0	ENST00000486340
